id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(k)[2000, 600]__batch128_model[32, 64, 32][8, 16]_None_do[0.0, 0.6000000000000001]_lr[0.01]_binary",0,128.0,"[2000, 600]",,"[32, 64, 32]","[8, 16]","[0.0, 0.6000000000000001]",,"[0.2, 0.8]",0.01,"Metric(tss: 85.92, hss2:  75.49, cm: [[1406, 227], [1, 544]])","Metric(tss: 80.45, hss2:  21.98, cm: [[260628, 30476], [502, 5024]])"
"train(n)[2800, 1400]__batch128_model[16, 16, 64][8, 0]_0_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,128.0,,"[2800, 1400]","[16, 16, 64]","[8, 0]","[0.4, 0.6000000000000001]",0,"[0.2, 0.8]",0.01,"Metric(tss: 83.27, hss2:  79.36, cm: [[2444, 344], [62, 1350]])","Metric(tss: 81.50, hss2:  19.94, cm: [[285308, 39643], [393, 5841]])"
"train(k)[400, 200]__batchNone_model[16, 128, 64][16, 0]_0_do[0.2, 0.4]_lr[0.01]_binary",0,,"[400, 200]",,"[16, 128, 64]","[16, 0]","[0.2, 0.4]",0,,0.01,"Metric(tss: 85.10, hss2:  80.82, cm: [[350, 47], [6, 190]])","Metric(tss: 79.96, hss2:  15.61, cm: [[272305, 52646], [239, 5995]])"
"train(k)[400, 1200]__batch1024_model[32, 32, 16][8, 0]_avg_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,1024.0,"[400, 1200]",,"[32, 32, 16]","[8, 0]","[0.6000000000000001, 0.0]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 72.36, hss2:  79.61, cm: [[284, 108], [1, 1177]])","Metric(tss: 61.86, hss2:  5.81, cm: [[202275, 122676], [24, 6210]])"
"train(n)[2800, 1400]__batch128_model[16, 64, 16][16, 0]_avg_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,128.0,,"[2800, 1400]","[16, 64, 16]","[16, 0]","[0.6000000000000001, 0.2]",avg,,0.01,"Metric(tss: 83.90, hss2:  80.11, cm: [[2442, 334], [58, 1366]])","Metric(tss: 75.98, hss2:  15.13, cm: [[273336, 51615], [507, 5727]])"
"train(k)[2800, 600]__batch1024_model[64, 64, 32][32, 32]_None_do[0.2, 0.2]_lr[0.01]_binary",0,1024.0,"[2800, 600]",,"[64, 64, 32]","[32, 32]","[0.2, 0.2]",,"[0.2, 0.8]",0.01,"Metric(tss: 89.08, hss2:  77.20, cm: [[2052, 223], [6, 532]])","Metric(tss: 74.81, hss2:  28.19, cm: [[271457, 19647], [1019, 4507]])"
"train(n)[1200, 400]__batchNone_model[64, 128, 32][32, 32]_None_do[0.4, 0.2]_lr[0.01]_binary",0,,,"[1200, 400]","[64, 128, 32]","[32, 32]","[0.4, 0.2]",,,0.01,"Metric(tss: 85.08, hss2:  77.31, cm: [[972, 114], [15, 324]])","Metric(tss: 78.71, hss2:  25.36, cm: [[266690, 24414], [713, 4813]])"
"train(n)[4000, 200]__batch1024_model[64, 32, 32][64, 8]_avg_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,,"[4000, 200]","[64, 32, 32]","[64, 8]","[0.0, 0.0]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 81.03, hss2:  60.22, cm: [[3829, 173], [29, 169]])","Metric(tss: 34.44, hss2:  19.94, cm: [[311869, 13082], [3836, 2398]])"
"train(k)[2000, 1400]__batch128_model[128, 128, 64][32, 32]_avg_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,128.0,"[2000, 1400]",,"[128, 128, 64]","[32, 32]","[0.6000000000000001, 0.0]",avg,,0.01,"Metric(tss: 52.94, hss2:  56.00, cm: [[1884, 111], [556, 784]])","Metric(tss: 47.45, hss2:  15.94, cm: [[297070, 27881], [2741, 3493]])"
"train(k)[1600, 800]__batch128_model[16, 32, 16][64, 32]_None_do[0.0, 0.2]_lr[0.01]_binary",0,128.0,"[1600, 800]",,"[16, 32, 16]","[64, 32]","[0.0, 0.2]",,"[0.4, 0.6]",0.01,"Metric(tss: 85.73, hss2:  82.98, cm: [[1145, 137], [26, 700]])","Metric(tss: 79.81, hss2:  25.15, cm: [[265984, 25120], [639, 4887]])"
"train(k)[1200, 1200]__batch128_model[32, 128, 128][64, 32]_None_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,128.0,"[1200, 1200]",,"[32, 128, 128]","[64, 32]","[0.6000000000000001, 0.4]",,"[0.4, 0.6]",0.01,"Metric(tss: 83.25, hss2:  83.72, cm: [[826, 139], [25, 1041]])","Metric(tss: 79.87, hss2:  25.14, cm: [[265947, 25157], [635, 4891]])"
"train(n)[1200, 1400]__batch1024_model[16, 64, 32][16, 0]_avg_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,,"[1200, 1400]","[16, 64, 32]","[16, 0]","[0.4, 0.2]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 86.13, hss2:  86.78, cm: [[1016, 122], [46, 1416]])","Metric(tss: 58.90, hss2:  5.14, cm: [[191865, 133086], [9, 6225]])"
"train(k)[3600, 800]__batch128_model[16, 128, 128][16, 8]_0_do[0.0, 0.2]_lr[0.01]_binary",0,128.0,"[3600, 800]",,"[16, 128, 128]","[16, 8]","[0.0, 0.2]",0,,0.01,"Metric(tss: 88.80, hss2:  79.39, cm: [[3255, 287], [26, 814]])","Metric(tss: 44.57, hss2:  7.86, cm: [[263297, 61654], [2273, 3961]])"
"train(n)[400, 200]__batch1024_model[64, 32, 32][16, 8]_None_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,1024.0,,"[400, 200]","[64, 32, 32]","[16, 8]","[0.6000000000000001, 0.4]",,"[0.3, 0.7]",0.01,"Metric(tss: 84.83, hss2:  81.77, cm: [[319, 36], [9, 170]])","Metric(tss: 78.76, hss2:  24.73, cm: [[265794, 25310], [693, 4833]])"
"train(k)[3600, 800]__batch128_model[16, 128, 32][64, 32]_0_do[0.4, 0.2]_lr[0.01]_binary",0,128.0,"[3600, 800]",,"[16, 128, 32]","[64, 32]","[0.4, 0.2]",0,"[0.4, 0.6]",0.01,"Metric(tss: 88.41, hss2:  75.21, cm: [[3239, 362], [12, 769]])","Metric(tss: 66.34, hss2:  10.26, cm: [[254716, 70235], [751, 5483]])"
"train(k)[2800, 600]__batchNone_model[16, 16, 128][8, 32]_None_do[0.4, 0.0]_lr[0.01]_binary",0,,"[2800, 600]",,"[16, 16, 128]","[8, 32]","[0.4, 0.0]",,"[0.4, 0.6]",0.01,"Metric(tss: 86.03, hss2:  74.49, cm: [[2023, 242], [18, 530]])","Metric(tss: 75.82, hss2:  26.92, cm: [[269707, 21397], [930, 4596]])"
"train(k)[4000, 800]__batchNone_model[128, 32, 16][32, 0]_None_do[0.4, 0.2]_lr[0.01]_binary",0,,"[4000, 800]",,"[128, 32, 16]","[32, 0]","[0.4, 0.2]",,"[0.2, 0.8]",0.01,"Metric(tss: 84.48, hss2:  69.37, cm: [[2827, 417], [19, 694]])","Metric(tss: 79.54, hss2:  24.36, cm: [[264949, 26155], [634, 4892]])"
"train(n)[400, 1200]__batch128_model[64, 64, 128][16, 8]_avg_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,128.0,,"[400, 1200]","[64, 64, 128]","[16, 8]","[0.6000000000000001, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 67.64, hss2:  72.82, cm: [[283, 119], [33, 1165]])","Metric(tss: 71.06, hss2:  9.48, cm: [[242182, 82769], [216, 6018]])"
"train(n)[2800, 1400]__batch128_model[64, 16, 64][8, 16]_0_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,128.0,,"[2800, 1400]","[64, 16, 64]","[8, 16]","[0.6000000000000001, 0.4]",0,"[0.2, 0.8]",0.01,"Metric(tss: 81.31, hss2:  76.23, cm: [[2411, 413], [56, 1320]])","Metric(tss: 80.55, hss2:  18.46, cm: [[281801, 43150], [385, 5849]])"
"train(k)[400, 400]__batch1024_model[64, 16, 128][32, 32]_None_do[0.2, 0.2]_lr[0.01]_binary",0,1024.0,"[400, 400]",,"[64, 16, 128]","[32, 32]","[0.2, 0.2]",,"[0.4, 0.6]",0.01,"Metric(tss: 84.20, hss2:  84.38, cm: [[290, 34], [19, 339]])","Metric(tss: 49.72, hss2:  4.11, cm: [[165543, 125561], [395, 5131]])"
"train(n)[2800, 1000]__batch128_model[16, 64, 64][8, 0]_avg_do[0.0, 0.2]_lr[0.01]_binary",0,128.0,,"[2800, 1000]","[16, 64, 64]","[8, 0]","[0.0, 0.2]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 84.06, hss2:  77.90, cm: [[2468, 307], [50, 975]])","Metric(tss: 79.70, hss2:  17.05, cm: [[277868, 47083], [362, 5872]])"
"train(k)[2800, 600]__batch128_model[32, 16, 16][16, 0]_0_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,128.0,"[2800, 600]",,"[32, 16, 16]","[16, 0]","[0.6000000000000001, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss: 87.44, hss2:  73.16, cm: [[2463, 312], [8, 600]])","Metric(tss: 67.47, hss2:  11.18, cm: [[260160, 64791], [785, 5449]])"
"train(k)[3600, 800]__batch1024_model[128, 128, 16][64, 8]_0_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,"[3600, 800]",,"[128, 128, 16]","[64, 8]","[0.0, 0.0]",0,,0.01,"Metric(tss: 91.10, hss2:  82.27, cm: [[3347, 238], [18, 779]])","Metric(tss: 34.39, hss2:  5.63, cm: [[257179, 67772], [2790, 3444]])"
"train(k)[800, 800]__batchNone_model[16, 32, 64][16, 8]_0_do[0.4, 0.2]_lr[0.01]_binary",0,,"[800, 800]",,"[16, 32, 64]","[16, 8]","[0.4, 0.2]",0,,0.01,"Metric(tss: 88.53, hss2:  88.43, cm: [[748, 65], [27, 750]])","Metric(tss: 68.28, hss2:  7.67, cm: [[224479, 100472], [50, 6184]])"
"train(k)[4000, 1200]__batch128_model[64, 128, 128][32, 0]_0_do[0.4, 0.0]_lr[0.01]_binary",0,128.0,"[4000, 1200]",,"[64, 128, 128]","[32, 0]","[0.4, 0.0]",0,"[0.3, 0.7]",0.01,"Metric(tss: 90.74, hss2:  82.32, cm: [[3619, 347], [6, 1168]])","Metric(tss: 53.06, hss2:  4.65, cm: [[192189, 132762], [379, 5855]])"
"train(k)[800, 200]__batch1024_model[64, 128, 32][16, 16]_0_do[0.0, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[800, 200]",,"[64, 128, 32]","[16, 16]","[0.0, 0.6000000000000001]",0,"[0.2, 0.8]",0.01,"Metric(tss: 84.86, hss2:  70.51, cm: [[695, 104], [4, 184]])","Metric(tss: 64.75, hss2:  8.66, cm: [[242033, 82918], [607, 5627]])"
"train(k)[800, 1000]__batchNone_model[32, 16, 64][32, 32]_None_do[0.2, 0.2]_lr[0.01]_binary",0,,"[800, 1000]",,"[32, 16, 64]","[32, 32]","[0.2, 0.2]",,"[0.2, 0.8]",0.01,"Metric(tss: 84.24, hss2:  85.15, cm: [[576, 85], [25, 838]])","Metric(tss: 44.62, hss2:  3.31, cm: [[149969, 141135], [381, 5145]])"
"train(n)[2400, 1400]__batch1024_model[128, 128, 16][32, 8]_0_do[0.2, 0.4]_lr[0.01]_binary",0,1024.0,,"[2400, 1400]","[128, 128, 16]","[32, 8]","[0.2, 0.4]",0,,0.01,"Metric(tss: 67.37, hss2:  68.36, cm: [[2181, 227], [323, 1069]])","Metric(tss: 63.93, hss2:  19.61, cm: [[294568, 30383], [1666, 4568]])"
"train(k)[3200, 1200]__batchNone_model[64, 64, 64][64, 0]_avg_do[0.0, 0.2]_lr[0.01]_binary",0,,"[3200, 1200]",,"[64, 64, 64]","[64, 0]","[0.0, 0.2]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 92.10, hss2:  87.55, cm: [[2976, 208], [16, 1153]])","Metric(tss: 39.87, hss2:  3.95, cm: [[207892, 117059], [1503, 4731]])"
"train(n)[2800, 400]__batchNone_model[64, 32, 32][8, 32]_0_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,,,"[2800, 400]","[64, 32, 32]","[8, 32]","[0.6000000000000001, 0.6000000000000001]",0,"[0.4, 0.6]",0.01,"Metric(tss: 47.68, hss2:  39.21, cm: [[2394, 381], [164, 261]])","Metric(tss: 30.41, hss2:  4.34, cm: [[245768, 79183], [2819, 3415]])"
"train(n)[2400, 1200]__batch1024_model[64, 32, 32][64, 32]_avg_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,,"[2400, 1200]","[64, 32, 32]","[64, 32]","[0.4, 0.2]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 89.62, hss2:  85.99, cm: [[2227, 209], [21, 1143]])","Metric(tss: 70.54, hss2:  10.14, cm: [[248830, 76121], [376, 5858]])"
"train(n)[3600, 600]__batch1024_model[64, 128, 64][16, 16]_0_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,1024.0,,"[3600, 600]","[64, 128, 64]","[16, 16]","[0.6000000000000001, 0.2]",0,"[0.4, 0.6]",0.01,"Metric(tss: 81.24, hss2:  69.32, cm: [[3243, 325], [61, 571]])","Metric(tss: 75.66, hss2:  29.23, cm: [[303653, 21298], [1109, 5125]])"
"train(k)[2400, 1400]__batchNone_model[16, 128, 16][8, 32]_None_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,,"[2400, 1400]",,"[16, 128, 16]","[8, 32]","[0.6000000000000001, 0.4]",,"[0.2, 0.8]",0.01,"Metric(tss: 80.20, hss2:  74.98, cm: [[1653, 370], [17, 1108]])","Metric(tss: 79.76, hss2:  23.08, cm: [[262848, 28256], [582, 4944]])"
"train(k)[1200, 1400]__batch1024_model[16, 32, 128][16, 8]_None_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[1200, 1400]",,"[16, 32, 128]","[16, 8]","[0.6000000000000001, 0.6000000000000001]",,"[0.2, 0.8]",0.01,"Metric(tss: 75.69, hss2:  77.11, cm: [[762, 222], [21, 1179]])","Metric(tss: 79.02, hss2:  17.87, cm: [[252146, 38958], [420, 5106]])"
"train(n)[3600, 200]__batch1024_model[64, 64, 32][64, 16]_avg_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,1024.0,,"[3600, 200]","[64, 64, 32]","[64, 16]","[0.6000000000000001, 0.2]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 82.65, hss2:  37.81, cm: [[3109, 496], [7, 188]])","Metric(tss: 39.71, hss2:  2.87, cm: [[160985, 163966], [613, 5621]])"
"train(n)[1600, 200]__batch1024_model[64, 16, 128][16, 8]_avg_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,,"[1600, 200]","[64, 16, 128]","[16, 8]","[0.4, 0.2]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 85.48, hss2:  60.59, cm: [[1427, 183], [6, 184]])","Metric(tss: 59.01, hss2:  7.92, cm: [[242006, 82945], [964, 5270]])"
"train(k)[2400, 600]__batchNone_model[64, 16, 16][32, 0]_avg_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,,"[2400, 600]",,"[64, 16, 16]","[32, 0]","[0.6000000000000001, 0.6000000000000001]",avg,,0.01,"Metric(tss: 83.80, hss2:  72.13, cm: [[2072, 296], [23, 599]])","Metric(tss: 75.46, hss2:  11.08, cm: [[250991, 73960], [111, 6123]])"
"train(k)[1600, 1200]__batch128_model[32, 128, 32][8, 8]_0_do[0.0, 0.0]_lr[0.01]_binary",0,128.0,"[1600, 1200]",,"[32, 128, 32]","[8, 8]","[0.0, 0.0]",0,"[0.3, 0.7]",0.01,"Metric(tss: 91.15, hss2:  90.02, cm: [[1455, 125], [11, 1161]])","Metric(tss: 34.70, hss2:  1.97, cm: [[113240, 211711], [9, 6225]])"
"train(n)[4000, 200]__batch128_model[16, 128, 64][8, 16]_0_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,128.0,,"[4000, 200]","[16, 128, 64]","[8, 16]","[0.6000000000000001, 0.6000000000000001]",0,"[0.2, 0.8]",0.01,"Metric(tss: 82.40, hss2:  39.54, cm: [[3495, 494], [11, 200]])","Metric(tss: 42.61, hss2:  3.15, cm: [[165190, 159761], [513, 5721]])"
"train(n)[2000, 400]__batch1024_model[32, 16, 128][32, 16]_None_do[0.2, 0.2]_lr[0.01]_binary",0,1024.0,,"[2000, 400]","[32, 16, 128]","[32, 16]","[0.2, 0.2]",,"[0.3, 0.7]",0.01,"Metric(tss: 87.08, hss2:  75.24, cm: [[1619, 164], [14, 362]])","Metric(tss: 69.34, hss2:  30.42, cm: [[275295, 15809], [1394, 4132]])"
"train(n)[3600, 600]__batchNone_model[64, 32, 16][32, 8]_0_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,,,"[3600, 600]","[64, 32, 16]","[32, 8]","[0.4, 0.6000000000000001]",0,"[0.3, 0.7]",0.01,"Metric(tss: 63.42, hss2:  56.95, cm: [[3234, 341], [169, 456]])","Metric(tss: 56.88, hss2:  15.94, cm: [[290282, 34669], [2023, 4211]])"
"train(k)[1200, 400]__batch1024_model[64, 16, 64][32, 32]_None_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,1024.0,"[1200, 400]",,"[64, 16, 64]","[32, 32]","[0.6000000000000001, 0.0]",,"[0.2, 0.8]",0.01,"Metric(tss: 70.00, hss2:  53.72, cm: [[730, 295], [4, 323]])","Metric(tss: 71.81, hss2:  13.12, cm: [[240114, 50990], [590, 4936]])"
"train(k)[4000, 1000]__batch1024_model[16, 32, 128][16, 0]_None_do[0.4, 0.4]_lr[0.01]_binary",0,1024.0,"[4000, 1000]",,"[16, 32, 128]","[16, 0]","[0.4, 0.4]",,"[0.2, 0.8]",0.01,"Metric(tss: 84.47, hss2:  71.45, cm: [[2803, 454], [14, 867]])","Metric(tss: 73.32, hss2:  15.31, cm: [[247776, 43328], [652, 4874]])"
"train(n)[2400, 200]__batch128_model[64, 64, 32][32, 32]_None_do[0.2, 0.2]_lr[0.01]_binary",0,128.0,,"[2400, 200]","[64, 64, 32]","[32, 32]","[0.2, 0.2]",,"[0.2, 0.8]",0.01,"Metric(tss: 68.94, hss2:  52.52, cm: [[1994, 164], [42, 137]])","Metric(tss: 48.20, hss2:  21.21, cm: [[274221, 16883], [2542, 2984]])"
"train(k)[1600, 200]__batch1024_model[128, 16, 128][16, 16]_0_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[1600, 200]",,"[128, 16, 128]","[16, 16]","[0.6000000000000001, 0.6000000000000001]",0,"[0.3, 0.7]",0.01,"Metric(tss: 64.93, hss2:  52.25, cm: [[1425, 172], [52, 162]])","Metric(tss: 64.09, hss2:  14.58, cm: [[280405, 44546], [1384, 4850]])"
"train(k)[1600, 200]__batchNone_model[32, 16, 16][8, 8]_None_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,,"[1600, 200]",,"[32, 16, 16]","[8, 8]","[0.6000000000000001, 0.2]",,"[0.2, 0.8]",0.01,"Metric(tss: 83.86, hss2:  60.72, cm: [[1122, 185], [4, 197]])","Metric(tss: 78.54, hss2:  23.07, cm: [[263355, 27749], [659, 4867]])"
"train(n)[2800, 200]__batch1024_model[32, 128, 32][16, 16]_avg_do[0.0, 0.4]_lr[0.01]_binary",0,1024.0,,"[2800, 200]","[32, 128, 32]","[16, 16]","[0.0, 0.4]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 84.74, hss2:  47.77, cm: [[2482, 326], [7, 185]])","Metric(tss: 77.60, hss2:  21.25, cm: [[290513, 34438], [736, 5498]])"
"train(n)[3600, 1400]__batchNone_model[64, 128, 32][8, 32]_0_do[0.0, 0.4]_lr[0.01]_binary",0,,,"[3600, 1400]","[64, 128, 32]","[8, 32]","[0.0, 0.4]",0,"[0.3, 0.7]",0.01,"Metric(tss: 83.23, hss2:  78.20, cm: [[3151, 397], [81, 1371]])","Metric(tss: 82.21, hss2:  22.36, cm: [[290489, 34462], [448, 5786]])"
"train(n)[1200, 600]__batch1024_model[32, 16, 32][32, 32]_avg_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,1024.0,,"[1200, 600]","[32, 16, 32]","[32, 32]","[0.6000000000000001, 0.4]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 80.81, hss2:  75.00, cm: [[1027, 192], [20, 561]])","Metric(tss: 78.93, hss2:  18.31, cm: [[282379, 42572], [497, 5737]])"
"train(k)[1600, 800]__batch128_model[128, 64, 32][32, 16]_avg_do[0.4, 0.0]_lr[0.01]_binary",0,128.0,"[1600, 800]",,"[128, 64, 32]","[32, 16]","[0.4, 0.0]",avg,,0.01,"Metric(tss: 89.40, hss2:  86.74, cm: [[1413, 133], [17, 834]])","Metric(tss: 55.97, hss2:  4.58, cm: [[182358, 142593], [9, 6225]])"
"train(k)[400, 1400]__batch128_model[128, 128, 32][16, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,128.0,"[400, 1400]",,"[128, 128, 32]","[16, 16]","[0.0, 0.0]",,"[0.2, 0.8]",0.01,"Metric(tss: 15.38, hss2:  22.25, cm: [[50, 275], [0, 1201]])","Metric(tss: 36.73, hss2:  2.38, cm: [[128376, 162728], [407, 5119]])"
"train(k)[1600, 600]__batchNone_model[64, 16, 64][32, 16]_None_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,,"[1600, 600]",,"[64, 16, 64]","[32, 16]","[0.4, 0.6000000000000001]",,,0.01,"Metric(tss: 88.35, hss2:  81.70, cm: [[1156, 144], [3, 517]])","Metric(tss: 81.46, hss2:  22.57, cm: [[261251, 29853], [458, 5068]])"
"train(n)[800, 1000]__batch128_model[128, 128, 64][16, 8]_None_do[0.2, 0.2]_lr[0.01]_binary",0,128.0,,"[800, 1000]","[128, 128, 64]","[16, 8]","[0.2, 0.2]",,"[0.2, 0.8]",0.01,"Metric(tss: 65.66, hss2:  66.76, cm: [[516, 231], [29, 821]])","Metric(tss: 71.27, hss2:  12.55, cm: [[237808, 53296], [576, 4950]])"
"train(n)[2400, 1200]__batch1024_model[64, 64, 16][8, 0]_None_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,1024.0,,"[2400, 1200]","[64, 64, 16]","[8, 0]","[0.6000000000000001, 0.0]",,"[0.4, 0.6]",0.01,"Metric(tss: 82.29, hss2:  77.73, cm: [[1916, 277], [52, 971]])","Metric(tss: 77.95, hss2:  20.04, cm: [[257954, 33150], [589, 4937]])"
"train(k)[400, 800]__batch128_model[128, 128, 32][8, 32]_avg_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,128.0,"[400, 800]",,"[128, 128, 32]","[8, 32]","[0.6000000000000001, 0.6000000000000001]",avg,,0.01,"Metric(tss: 85.09, hss2:  85.69, cm: [[364, 44], [32, 744]])","Metric(tss: 53.99, hss2:  4.23, cm: [[175436, 149515], [0, 6234]])"
"train(k)[1600, 800]__batchNone_model[128, 128, 128][64, 32]_0_do[0.0, 0.4]_lr[0.01]_binary",0,,"[1600, 800]",,"[128, 128, 128]","[64, 32]","[0.0, 0.4]",0,"[0.2, 0.8]",0.01,"Metric(tss: 82.65, hss2:  76.92, cm: [[1369, 245], [17, 768]])","Metric(tss: 74.49, hss2:  10.53, cm: [[247670, 77281], [108, 6126]])"
"train(k)[2000, 600]__batchNone_model[16, 32, 128][16, 0]_None_do[0.2, 0.4]_lr[0.01]_binary",0,,"[2000, 600]",,"[16, 32, 128]","[16, 0]","[0.2, 0.4]",,"[0.4, 0.6]",0.01,"Metric(tss: 89.02, hss2:  81.04, cm: [[1462, 167], [4, 545]])","Metric(tss: 78.72, hss2:  25.90, cm: [[267397, 23707], [726, 4800]])"
"train(n)[1200, 800]__batch128_model[128, 64, 128][16, 8]_avg_do[0.4, 0.4]_lr[0.01]_binary",0,128.0,,"[1200, 800]","[128, 64, 128]","[16, 8]","[0.4, 0.4]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 85.71, hss2:  83.34, cm: [[1077, 143], [20, 760]])","Metric(tss: 54.61, hss2:  4.35, cm: [[178175, 146776], [14, 6220]])"
"train(n)[4000, 1400]__batch1024_model[128, 32, 64][8, 32]_0_do[0.2, 0.0]_lr[0.01]_binary",0,1024.0,,"[4000, 1400]","[128, 32, 64]","[8, 32]","[0.2, 0.0]",0,,0.01,"Metric(tss: 90.36, hss2:  87.11, cm: [[3802, 216], [59, 1323]])","Metric(tss: 57.47, hss2:  18.34, cm: [[295735, 29216], [2091, 4143]])"
"train(k)[4000, 1000]__batchNone_model[16, 32, 32][32, 8]_None_do[0.4, 0.2]_lr[0.01]_binary",0,,"[4000, 1000]",,"[16, 32, 32]","[32, 8]","[0.4, 0.2]",,"[0.2, 0.8]",0.01,"Metric(tss: 84.36, hss2:  71.73, cm: [[2854, 429], [22, 833]])","Metric(tss: 79.72, hss2:  20.95, cm: [[258984, 32120], [511, 5015]])"
"train(n)[3200, 1000]__batch1024_model[128, 16, 16][32, 8]_avg_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,1024.0,,"[3200, 1000]","[128, 16, 16]","[32, 8]","[0.6000000000000001, 0.2]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 84.77, hss2:  76.19, cm: [[2771, 384], [32, 1013]])","Metric(tss: 74.16, hss2:  11.45, cm: [[255064, 69887], [270, 5964]])"
"train(k)[3600, 1400]__batch1024_model[16, 64, 128][64, 8]_0_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,"[3600, 1400]",,"[16, 64, 128]","[64, 8]","[0.4, 0.2]",0,"[0.2, 0.8]",0.01,"Metric(tss: 90.82, hss2:  84.91, cm: [[3248, 314], [5, 1363]])","Metric(tss: 70.89, hss2:  11.19, cm: [[256590, 68361], [503, 5731]])"
"train(n)[2000, 400]__batch1024_model[16, 32, 32][64, 8]_None_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,,"[2000, 400]","[16, 32, 32]","[64, 8]","[0.6000000000000001, 0.6000000000000001]",,"[0.4, 0.6]",0.01,"Metric(tss: 84.12, hss2:  62.68, cm: [[1570, 269], [4, 316]])","Metric(tss: 79.24, hss2:  25.68, cm: [[266916, 24188], [688, 4838]])"
"train(n)[1200, 1000]__batch1024_model[16, 64, 32][32, 8]_0_do[0.4, 0.4]_lr[0.01]_binary",0,1024.0,,"[1200, 1000]","[16, 64, 32]","[32, 8]","[0.4, 0.4]",0,"[0.4, 0.6]",0.01,"Metric(tss: 81.75, hss2:  81.04, cm: [[1024, 164], [45, 967]])","Metric(tss: 77.27, hss2:  15.47, cm: [[273755, 51196], [435, 5799]])"
"train(k)[4000, 200]__batchNone_model[128, 128, 16][16, 16]_None_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,,"[4000, 200]",,"[128, 128, 16]","[16, 16]","[0.2, 0.6000000000000001]",,,0.01,"Metric(tss: 48.20, hss2:  26.76, cm: [[2945, 359], [70, 101]])","Metric(tss: 32.56, hss2:  11.62, cm: [[267529, 23575], [3279, 2247]])"
"train(n)[4000, 1000]__batch128_model[64, 64, 32][32, 16]_None_do[0.4, 0.2]_lr[0.01]_binary",0,128.0,,"[4000, 1000]","[64, 64, 32]","[32, 16]","[0.4, 0.2]",,"[0.3, 0.7]",0.01,"Metric(tss: 83.23, hss2:  72.17, cm: [[3167, 403], [48, 827]])","Metric(tss: 80.37, hss2:  24.40, cm: [[264679, 26425], [583, 4943]])"
