id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(n)[1200, 200]__batch128_model[64, 32, 32][16, 8]_0_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,128.0,,"[1200, 200]","[64, 32, 32]","[16, 8]","[0.6000000000000001, 0.2]",0,"[0.3, 0.7]",0.01,"Metric(tss: 87.70, hss2:  67.80, cm: [[1072, 136], [2, 190]])","Metric(tss: 31.13, hss2:  2.57, cm: [[182002, 142949], [1551, 4683]])"
"train(k)[2800, 1200]__batch128_model[16, 16, 32][16, 32]_avg_do[0.4, 0.0]_lr[0.01]_binary",0,128.0,"[2800, 1200]",,"[16, 16, 32]","[16, 32]","[0.4, 0.0]",avg,,0.01,"Metric(tss: 90.19, hss2:  85.70, cm: [[2570, 229], [19, 1149]])","Metric(tss: 64.92, hss2:  11.21, cm: [[263033, 61918], [999, 5235]])"
"train(k)[1200, 1000]__batch128_model[128, 32, 64][32, 0]_avg_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,128.0,"[1200, 1000]",,"[128, 32, 64]","[32, 0]","[0.6000000000000001, 0.4]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 88.34, hss2:  87.29, cm: [[1081, 130], [9, 966]])","Metric(tss: 68.19, hss2:  7.77, cm: [[226058, 98893], [86, 6148]])"
"train(n)[3200, 1200]__batch1024_model[32, 32, 32][32, 32]_None_do[0.2, 0.4]_lr[0.01]_binary",0,1024.0,,"[3200, 1200]","[32, 32, 32]","[32, 32]","[0.2, 0.4]",,"[0.2, 0.8]",0.01,"Metric(tss: 83.59, hss2:  75.80, cm: [[2462, 389], [30, 1053]])","Metric(tss: 79.82, hss2:  24.24, cm: [[264663, 26441], [613, 4913]])"
"train(k)[3200, 200]__batchNone_model[32, 64, 16][8, 0]_None_do[0.4, 0.2]_lr[0.01]_binary",0,,"[3200, 200]",,"[32, 64, 16]","[8, 0]","[0.4, 0.2]",,"[0.2, 0.8]",0.01,"Metric(tss: 85.13, hss2:  46.68, cm: [[2300, 314], [5, 170]])","Metric(tss: 68.05, hss2:  28.37, cm: [[273907, 17197], [1439, 4087]])"
"train(k)[2000, 200]__batch1024_model[16, 128, 128][8, 0]_avg_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,"[2000, 200]",,"[16, 128, 128]","[8, 0]","[0.0, 0.0]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 69.27, hss2:  53.64, cm: [[1855, 166], [43, 148]])","Metric(tss: 58.29, hss2:  13.39, cm: [[280571, 44380], [1749, 4485]])"
"train(n)[1200, 600]__batch1024_model[64, 16, 128][64, 0]_0_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,,"[1200, 600]","[64, 16, 128]","[64, 0]","[0.0, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 68.38, hss2:  60.23, cm: [[833, 354], [11, 602]])","Metric(tss: 65.32, hss2:  7.42, cm: [[225446, 99505], [253, 5981]])"
"train(n)[400, 800]__batch128_model[64, 128, 16][8, 8]_0_do[0.2, 0.4]_lr[0.01]_binary",0,128.0,,"[400, 800]","[64, 128, 16]","[8, 8]","[0.2, 0.4]",0,"[0.3, 0.7]",0.01,"Metric(tss: 32.52, hss2:  37.68, cm: [[148, 261], [29, 762]])","Metric(tss: 31.24, hss2:  1.91, cm: [[129312, 195639], [533, 5701]])"
"train(n)[4000, 1200]__batch1024_model[32, 64, 64][16, 0]_0_do[0.0, 0.4]_lr[0.01]_binary",0,1024.0,,"[4000, 1200]","[32, 64, 64]","[16, 0]","[0.0, 0.4]",0,"[0.3, 0.7]",0.01,"Metric(tss: 88.20, hss2:  79.05, cm: [[3572, 418], [16, 1194]])","Metric(tss: 54.90, hss2:  5.98, cm: [[220157, 104794], [801, 5433]])"
"train(k)[3200, 1400]__batch128_model[64, 16, 16][32, 32]_None_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,128.0,"[3200, 1400]",,"[64, 16, 16]","[32, 32]","[0.6000000000000001, 0.0]",,"[0.4, 0.6]",0.01,"Metric(tss: 89.26, hss2:  85.05, cm: [[2394, 236], [21, 1168]])","Metric(tss: 78.75, hss2:  23.05, cm: [[263235, 27869], [645, 4881]])"
