id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(k)[400, 600, 600, 80]__batch1024_model[32, 128, 128][16, 8]_avg_do[0.4, 0.4]_lr[0.01]_multi",0,1024.0,"[400, 600, 600, 80]",,"[32, 128, 128]","[16, 8]","[0.4, 0.4]",avg,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  29.71, tss: [  40.25   32.59   45.99    0.00],hss2: [  48.39   33.94   39.98    0.00] cm: [[174, 122, 112, 0], [30, 289, 258, 0], [0, 67, 519, 0], [0, 0, 86, 0]])","Metric(avg tss:  22.14, tss: [  35.36    1.72   51.48    0.00],hss2: [  16.52    1.29    4.45    0.00] cm: [[107982, 77284, 88976, 0], [2268, 14959, 33482, 0], [17, 594, 5078, 0], [0, 28, 517, 0]])"
"train(n)[800, 300, 800, 40]__batchNone_model[16, 32, 64][16, 8]_None_do[0.2, 0.0]_lr[0.01]_multi",0,,,"[800, 300, 800, 40]","[16, 32, 64]","[16, 8]","[0.2, 0.0]",,"[0.1, 0.1, 0.2, 0.6]",0.01,"Metric(avg tss:  65.47, tss: [  81.80   27.74   77.91   74.42],hss2: [  81.44   33.44   77.38   43.86] cm: [[656, 39, 24, 4], [83, 81, 83, 4], [7, 28, 648, 43], [0, 0, 7, 24]])","Metric(avg tss:  38.27, tss: [  62.74   15.17   61.97   13.20],hss2: [  52.78   17.18   14.10    2.50] cm: [[207079, 21801, 14187, 957], [11486, 11331, 22139, 2124], [153, 396, 3816, 754], [0, 0, 348, 59]])"
"train(k)[1200, 1200, 400, 160]__batch1024_model[64, 32, 128][8, 32]_avg_do[0.4, 0.4]_lr[0.01]_multi",0,1024.0,"[1200, 1200, 400, 160]",,"[64, 32, 128]","[8, 32]","[0.4, 0.4]",avg,,0.01,"Metric(avg tss:  57.45, tss: [  67.04   44.18   43.75   74.82],hss2: [  67.29   44.49   43.79   60.09] cm: [[965, 220, 20, 7], [215, 737, 158, 34], [2, 142, 227, 65], [0, 1, 30, 114]])","Metric(avg tss:  2.25, tss: [   6.92  -12.99   21.20   -6.14],hss2: [   2.49   -6.38    4.45   -0.08] cm: [[19197, 155470, 31208, 68367], [45, 21853, 15721, 13090], [0, 1725, 2032, 1932], [0, 113, 328, 104]])"
"train(k)[1200, 900, 800, 80]__batchNone_model[128, 32, 32][32, 32]_avg_do[0.0, 0.6000000000000001]_lr[0.01]_multi",0,,"[1200, 900, 800, 80]",,"[128, 32, 32]","[32, 32]","[0.0, 0.6000000000000001]",avg,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  21.71, tss: [  41.10   10.77   34.98    0.00],hss2: [  37.77   13.49   34.30    0.00] cm: [[1061, 68, 76, 0], [477, 145, 280, 0], [324, 35, 414, 0], [22, 6, 50, 0]])","Metric(avg tss:  21.90, tss: [  34.68    3.32   49.58    0.00],hss2: [  33.84    4.47   12.07    0.00] cm: [[240492, 14412, 19338, 0], [27911, 4310, 18488, 0], [2110, 91, 3488, 0], [165, 19, 361, 0]])"
"train(k)[400, 1200, 400, 80]__batch128_model[128, 16, 16][16, 8]_avg_do[0.0, 0.0]_lr[0.01]_multi",0,128.0,"[400, 1200, 400, 80]",,"[128, 16, 16]","[16, 8]","[0.0, 0.0]",avg,,0.01,"Metric(avg tss:  57.94, tss: [  62.70   46.77   44.92   77.38],hss2: [  64.08   46.65   45.35   54.29] cm: [[279, 118, 8, 0], [102, 930, 153, 22], [1, 141, 221, 38], [0, 2, 9, 45]])","Metric(avg tss:  6.74, tss: [   3.15  -17.00   37.86    2.94],hss2: [   1.11   -8.16    3.39    0.22] cm: [[8884, 162523, 90001, 12834], [49, 20981, 28857, 822], [0, 1167, 4239, 283], [0, 48, 458, 39]])"
"train(n)[400, 1200, 600, 40]__batch1024_model[128, 128, 32][16, 32]_None_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_multi",0,1024.0,,"[400, 1200, 600, 40]","[128, 128, 32]","[16, 32]","[0.6000000000000001, 0.6000000000000001]",,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  27.00, tss: [  40.41   24.92   42.47    0.21],hss2: [  42.94   24.34   36.28    0.18] cm: [[171, 157, 27, 0], [129, 617, 368, 12], [2, 114, 371, 38], [0, 3, 33, 1]])","Metric(avg tss:  27.23, tss: [  38.33   -1.58   64.32    7.87],hss2: [  19.42   -0.90   13.30    2.46] cm: [[109925, 114110, 19414, 575], [3534, 20939, 21352, 1255], [0, 770, 4014, 335], [0, 54, 318, 35]])"
"train(k)[400, 900, 200, 160]__batchNone_model[64, 64, 64][32, 16]_0_do[0.4, 0.6000000000000001]_lr[0.01]_multi",0,,"[400, 900, 200, 160]",,"[64, 64, 64]","[32, 16]","[0.4, 0.6000000000000001]",0,,0.01,"Metric(avg tss:  29.73, tss: [  35.50   27.49    9.00   46.94],hss2: [  33.37   27.00   11.24   32.86] cm: [[217, 158, 6, 10], [204, 567, 45, 104], [19, 76, 26, 63], [24, 7, 23, 77]])","Metric(avg tss:  23.64, tss: [  42.32    9.26    4.47   38.52],hss2: [  21.48    5.37    7.44    0.76] cm: [[131639, 112489, 101, 30013], [3169, 25457, 627, 21456], [53, 2189, 268, 3179], [15, 162, 68, 300]])"
"train(n)[800, 600, 800, 120]__batch128_model[128, 64, 128][32, 0]_None_do[0.4, 0.2]_lr[0.01]_multi",0,128.0,,"[800, 600, 800, 120]","[128, 64, 128]","[32, 0]","[0.4, 0.2]",,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  66.19, tss: [  75.11   32.26   64.53   92.85],hss2: [  74.28   35.89   63.62   61.52] cm: [[599, 85, 19, 1], [126, 230, 177, 17], [11, 61, 581, 80], [0, 0, 2, 88]])","Metric(avg tss:  45.38, tss: [  65.03   18.96   64.04   33.48],hss2: [  50.83   18.73   15.96    5.00] cm: [[198069, 32939, 11951, 1065], [8446, 15207, 20456, 2971], [43, 356, 3852, 868], [0, 0, 264, 143]])"
"train(n)[1200, 1200, 200, 120]__batch1024_model[16, 32, 128][16, 16]_None_do[0.0, 0.0]_lr[0.01]_multi",0,1024.0,,"[1200, 1200, 200, 120]","[16, 32, 128]","[16, 16]","[0.0, 0.0]",,,0.01,"Metric(avg tss:  58.12, tss: [  71.80   59.68   38.89   62.12],hss2: [  72.60   58.97   41.41   67.20] cm: [[856, 214, 3, 0], [110, 923, 59, 10], [0, 99, 80, 9], [0, 12, 21, 56]])","Metric(avg tss:  28.93, tss: [  43.46   12.43   26.21   33.62],hss2: [  43.01   17.78    7.59    2.37] cm: [[218397, 4255, 18647, 2725], [23793, 6849, 10043, 6395], [425, 940, 1848, 1906], [0, 101, 154, 152]])"
"train(n)[1600, 900, 400, 40]__batchNone_model[16, 64, 16][8, 0]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_multi",0,,,"[1600, 900, 400, 40]","[16, 64, 16]","[8, 0]","[0.4, 0.6000000000000001]",avg,"[0.1, 0.1, 0.4, 0.4]",0.01,"Metric(avg tss:  35.13, tss: [  65.47    9.07   65.97    0.00],hss2: [  65.93   11.45   38.62    0.00] cm: [[1425, 72, 125, 0], [288, 126, 496, 0], [7, 25, 343, 0], [0, 0, 33, 0]])","Metric(avg tss:  35.73, tss: [  57.11   10.71   75.12    0.00],hss2: [  51.22   13.58   15.88    0.00] cm: [[240339, 15651, 18252, 0], [17199, 8361, 25149, 0], [186, 463, 5040, 0], [0, 93, 452, 0]])"
